Year,Country,number
2016,Germany,375122
2016,Jordan,648836
2016,Lebanon ,1005503
2016,Turkey,2823987
2017,Germany,496674
2017,Jordan,653031
2017,Lebanon ,992127
2017,Turkey,3424237
2018,Germany,532065
2018,Jordan,676283
2018,Lebanon ,944181
2018,Turkey,3622366
2019,Germany,572818
2019,Jordan,654692
2019,Lebanon ,910586
2019,Turkey,3576370
2020,Germany,605338
2020,Jordan,662790
2020,Lebanon ,865300
2020,Turkey,3641370
2021,Germany,621740
2021,Jordan,672952
2021,Lebanon ,840929
2021,Turkey,3737369
2022,Germany,664238
2022,Jordan,675433
2022,Lebanon ,831053
2022,Turkey,3648983